Brand Name,Name of the Product,Rating,No. of Ratings,Price,Return/Exchange,Expected Delivery,Availability,Product URL
Visit the Kadence Store,"Kadence Slowhand Premium Jumbo Semi Acoustic Guitar with Heavy Padded Bag, guitar cable, Pro Capo (Black Spruce Wood)",4 out of 5,608 ratings,"11,999",Pay on Delivery,"Thursday, 7 September",In stock,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo1NTg0MDk3ODIzNjIxNjEwOjE2OTM3NTA0MDc6c3BfbXRmOjIwMDU3MTkzMDU2MjA0OjowOjo&url=%2FKadence-Slowhand-Premium-Acoustic-Instrument%2Fdp%2FB077SZ667X%2Fref%3Dsr_1_24_sspa%3Fkeywords%3Dguitar%26qid%3D1693750407%26sr%3D8-24-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
Visit the JUAREZ Store,"Juarez JRZ-ST01 38 Inches Wood 6-String Electric Guitar, Right Handed, Full Black, With Case/Bag And Picks (Black)",4 out of 5,304 ratings,"5,299",Pay on Delivery,"Thursday, 7 September",In stock,https://www.amazon.in/Juarez-JRZ-ST01-6-String-Electric-Without/dp/B01FYZSOGM/ref=sr_1_25?keywords=guitar&qid=1693750407&sr=8-25
Brand: Medellin,"Medellin M38 carbon fiber body 38 Incheses Acoustic Guitar (White) Durable Matt finish With hAndrest, strings, strap, bag, 3 Picks, capo, stAnd",3.4 out of 5,110 ratings,"2,499",1 Year Warranty,,,https://www.amazon.in/Medellin-Acoustic-Guitar-Carbon-Learning/dp/B09MSFP7JK/ref=sr_1_26?keywords=guitar&qid=1693750407&sr=8-26
Brand: Medellin,"Medellin 38"" Acoustic Guitar premium wood with adjustable Truss-rod, free online learning course, Set Of Strings, Strap, Bag and 3 Picks (black)",4.1 out of 5,57 ratings,"2,649",Pay on Delivery,"Thursday, 7 September",In stock,https://www.amazon.in/Medellin-Acoustic-adjustable-Truss-rod-learning/dp/B0BMKHTNX1/ref=sr_1_27?keywords=guitar&qid=1693750407&sr=8-27
Visit the JUAREZ Store,"JUAREZ JRZ38C 38 Inches Lindenwood Right Handed Acoustic Guitar With Bag, Strings, Pick And Strap (Natural, Brown, 6 Strings)",3.9 out of 5,"5,549 ratings","2,649",Pay on Delivery,"Thursday, 7 September",In stock,https://www.amazon.in/JUAREZ-JRZ38C-Acoustic-Natural-Strings/dp/B01FYYTDWC/ref=sr_1_28?keywords=guitar&qid=1693750407&sr=8-28
Visit the JUAREZ Store,"Juârez JRZ38C/WH 6 Strings Acoustic Guitar 38 Inch Cutaway, Right Handed, White with Bag, Strings, Picks and Strap",3.9 out of 5,"5,549 ratings","2,649",Pay on Delivery,"Thursday, 7 September",In stock,https://www.amazon.in/Ju%C3%A2rez-JRZ38C-WH-Strings-Acoustic/dp/B072MFK4L6/ref=sr_1_29?keywords=guitar&qid=1693750407&sr=8-29
Visit the Intern Store,Intern INT-38C Acoustic Guitar Kit (Red),4 out of 5,"13,412 ratings","2,099",Pay on Delivery,"Thursday, 7 September",In stock,https://www.amazon.in/Intern-INT-38C-Acoustic-Guitar-Kit/dp/B073B6TF31/ref=sr_1_30?keywords=guitar&qid=1693750407&sr=8-30
Visit the Intern Store,Intern INT-38C Natural Linden Wood Acoustic Guitar Kit with Carry Bag & Picks,3.9 out of 5,"2,587 ratings","2,089",Pay on Delivery,"Thursday, 7 September",In stock,https://www.amazon.in/Intern-INT-38C-Natural-Acoustic-Guitar/dp/B07X4LPJ6H/ref=sr_1_31?keywords=guitar&qid=1693750407&sr=8-31
Brand: REVEL,Revel 38 Inches Cutaway Design Acoustic Guitar with Carry bag and Plectrums. Great tone and Beginner/Learners standard size configuration for all age groups (Black)…,4.1 out of 5,79 ratings,"1,999",Pay on Delivery,"Thursday, 7 September",In stock,https://www.amazon.in/Acoustic-Plectrums-Beginner-Learners-configuration/dp/B0B4SSB8BJ/ref=sr_1_32?keywords=guitar&qid=1693750407&sr=8-32
Brand: HOVNER,"Hovner 215 Black F-Cut Rosewood Fretboard Acoustic Guitar With Bag,Strap,1 Set of Extra Strings and 2 Picks By K-Retail",4 out of 5,726 ratings,"4,580",Pay on Delivery,"Friday, 8 September",In stock,https://www.amazon.in/Rosewood-Fretboard-Acoustic-Strings-K-Retail/dp/B07KLG8C4P/ref=sr_1_33?keywords=guitar&qid=1693750407&sr=8-33
